Model,Weighted_Yield,Weighted_Quality,Weighted_QYI,Cost
Claude-3.7-Sonnet,0.5963302752293578,0.4686418141993501,0.5033804686934877,10.211376000000001
DeepSeek-R1,0.6972477064220184,0.5774786880662209,0.5497613438082675,2.20762729
DeepSeek-V3-0304,0.45871559633027525,0.3889853401286581,0.3707350059677378,0.5490064800000001
GPT-o4-mini:high,0.6926605504587156,0.6439745393516236,0.6088897345539104,5.4771772
Gemini-2.5-Flash-0417,0.6605504587155964,0.5280710856959938,0.5682284542835527,1.57536455
Gemini-2.5-Pro-0506,0.6467889908256881,0.6700432180770771,0.6170361475639661,8.15831125
LLaMA-3.3-70B-Instruct,0.3394495412844037,0.3520955828277669,0.29509494863144425,0.09347468
LLaMA-4-Maverick-17B-128E-Instruct,0.3211009174311927,0.338313647708639,0.29552543243560553,0.30130080000000004
Qwen3-235B-A22B,0.44495412844036697,0.45131704249613064,0.4355052474142274,0.6755308571428572
