Model,Weighted_Yield,Weighted_Quality,Weighted_QYI,Cost
Claude-3.7-Sonnet,0.5137614678899083,0.5923903253771917,0.48281572130511313,10.300928999999998
DeepSeek-R1,0.5688073394495413,0.5624610172700905,0.5312929239831363,1.82517068
DeepSeek-V3-0304,0.41284403669724773,0.41877624702455185,0.3839377919013559,0.36779872
Gemini-2.5-Flash-0417,0.47706422018348627,0.7688196354522951,0.5029961570343975,1.5942048500000001
Gemini-2.5-Pro-0506,0.5229357798165137,0.48928917904844005,0.4921467185776787,4.72133625
LLaMA-3.3-70B-Instruct,0.30275229357798167,0.3626837403574728,0.28679904158408337,0.06863668
LLaMA-4-Maverick-17B-128E-Instruct,0.2981651376146789,0.3271183266562347,0.26667342322366727,0.13016848
Qwen3-235B-A22B,0.5458715596330275,0.5227809292921088,0.5294347948741529,0.4525391428571428
